model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Volkswagen,2015,161025.0,серый,2100.0,механическая,передний,2 владельца,1.6,105.0,бензиновый ,АИ-95 ,10.5,6.4,Германия ,B ,190.0,Euro 4 ,997000.0,4.0,1764.0,16102.5
Skoda,2014,148432.0,белый,2100.0,механическая,передний,2 владельца,1.6,105.0,бензиновый ,АИ-95 ,10.6,6.4,Чехия ,B ,193.0,Euro 4 ,830000.0,4.0,1780.8,13493.818181818182
Nissan,2013,135000.0,белый,2340.0,вариатор,передний,3 или более,1.6,117.0,бензиновый ,АИ-95 ,13.0,6.4,Япония ,C ,174.0,Euro 5 ,1115000.0,4.0,2433.6000000000004,11250.0
Hyundai,2018,123656.0,чёрный,2560.0,автоматическая,передний,3 или более,1.6,128.0,бензиновый ,АИ-95 ,11.6,6.9,Южная Корея ,C ,195.0,Euro 5 ,1450000.0,4.3125,2375.68,17665.14285714286
Nissan,2019,87924.0,белый,2880.0,вариатор,передний,2 владельца,2.0,144.0,бензиновый ,АИ-95 ,10.1,7.0,Япония ,C ,184.0,Euro 5 ,1769000.0,3.5,2908.7999999999997,14654.0
Voyah,2023,50.0,зелёный,15300.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,6100000.0,0.54,3528.0,25.0
Kia,2012,230000.0,синий,2460.0,механическая,передний,3 или более,1.6,123.0,бензиновый ,АИ-92 ,10.3,6.0,Южная Корея ,B ,190.0,Euro 4 ,650000.0,3.75,2027.0400000000002,17692.30769230769
Haval,2021,19100.0,чёрный,3000.0,роботизированная,полный,2 владельца,1.5,150.0,бензиновый ,АИ-95 ,11.0,8.4,Китай ,C ,180.0,Euro 5 ,2050000.0,5.6000000000000005,2475.0,4775.0
Kia,2021,22015.0,чёрный,3000.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,10.2,8.0,Южная Корея ,B ,186.0,Euro 5 ,2290000.0,4.0,3060.0,5503.75
Hyundai,2020,63000.0,чёрный,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,12.1,7.1,Южная Корея ,B ,169.0,Euro 5 ,1850000.0,4.437499999999999,2381.28,12600.0
Lada,2019,184513.0,серебристый,2120.0,механическая,передний,2 владельца,1.6,106.0,бензиновый ,АИ-95 ,13.5,7.9,Россия ,C ,165.0,Euro 5 ,880000.0,4.9375,2289.6000000000004,30752.166666666668
Hyundai,2011,142897.0,бежевый,2440.0,автоматическая,передний,2 владельца,1.6,122.0,бензиновый ,АИ-95 ,12.1,6.9,Южная Корея ,C ,188.0,Euro 0,988000.0,4.3125,2361.92,10206.92857142857
Renault,2021,18689.0,белый,2280.0,вариатор,передний,1 владелец,1.6,114.0,бензиновый ,АИ-95 ,15.2,6.9,Франция ,C ,172.0,Euro 5 ,1630000.0,4.3125,2772.48,4672.25
Hyundai,2021,68895.0,белый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,12.1,7.0,Южная Корея ,B ,169.0,Euro 5 ,2120000.0,4.375,2381.28,17223.75
Hyundai,2014,67756.0,коричневый,3000.0,автоматическая,передний,3 или более,2.0,150.0,бензиновый ,АИ-95 ,11.5,8.8,Южная Корея ,C ,177.0,Euro 4 ,1650000.0,4.4,3450.0,6159.636363636364
Citroen,2013,101773.0,белый,855.0,механическая,передний,3 или более,1.4,95.0,бензиновый ,АИ-95 ,13.4,6.5,Франция ,M ,178.0,Euro 5 ,770000.0,4.642857142857143,1782.2,8481.083333333334
